Year,Value,Units
2000,8687.0,Current Dollars
2001,8854.8,Current Dollars
2002,9025.0,Current Dollars
2003,9368.1,Current Dollars
2004,9895.6,Current Dollars
2005,10415.4,Current Dollars
2006,10841.7,Current Dollars
2007,11160.2,Current Dollars
2008,11043.4,Current Dollars
2009,10350.2,Current Dollars
2010,10708.1,Current Dollars
2011,11265.3,Current Dollars
2012,11558.3,Current Dollars
2013,11801.4,Current Dollars
2014,12160.8,Current Dollars
2015,12278.6,Current Dollars
2016,12424.2,Current Dollars
2017,12886.9,Current Dollars
2018,13425.4,Current Dollars
2019,13703.5,Current Dollars
2020,14204.6,Current Dollars
2021,16567.8,Current Dollars
2022,17978.3,Current Dollars
2023,18470.6,Current Dollars
